id_pers;sexo;edad;grupo_edad;area;dpto;nivel_edu;quintil_ingreso;uso_internet;fex
71;Mujer;63;55-64;Urbana;Asunción;Media;Q2;0;20
72;Hombre;46;45-54;Urbana;Asunción;Superior;Q5;1;35
73;Hombre;23;15-24;Urbana;Alto Paraná;Superior;Q3;1;115
74;Mujer;25;25-34;Rural;Caaguazú;Superior;Q5;1;142
75;Mujer;36;35-44;Rural;San Pedro;Superior;Q5;1;110
76;Mujer;40;35-44;Urbana;Asunción;Media;Q3;1;49
77;Mujer;17;15-24;Urbana;Central;Media;Q3;1;33
78;Hombre;48;45-54;Urbana;Central;Media;Q3;0;134
79;Hombre;36;35-44;Urbana;Alto Paraná;Superior;Q4;1;32
80;Hombre;15;15-24;Urbana;Central;Media;Q3;1;39
81;Mujer;18;15-24;Urbana;Central;Media;Q4;1;97
82;Mujer;25;25-34;Urbana;Alto Paraná;Básica;Q2;0;44
83;Hombre;33;25-34;Urbana;Central;Media;Q4;1;49
84;Hombre;69;65+;Urbana;Central;Media;Q4;0;38
85;Hombre;39;35-44;Rural;San Pedro;Básica;Q3;1;142
86;Hombre;19;15-24;Urbana;Central;Superior;Q4;1;36
87;Mujer;38;35-44;Rural;Concepción;Básica;Q5;0;141
88;Mujer;28;25-34;Urbana;Asunción;Superior;Q4;1;62
89;Mujer;40;35-44;Urbana;Central;Básica;Q3;0;126
90;Hombre;45;45-54;Urbana;Central;Superior;Q5;1;143
91;Hombre;56;55-64;Rural;San Pedro;Media;Q3;0;87
92;Mujer;34;25-34;Rural;San Pedro;Media;Q5;0;120
93;Mujer;64;55-64;Rural;San Pedro;Básica;Q1;0;54
94;Mujer;51;45-54;Rural;Caaguazú;Media;Q3;0;69
95;Mujer;22;15-24;Urbana;Central;Superior;Q3;1;91
96;Mujer;74;65+;Rural;Caaguazú;Básica;Q1;0;130
97;Mujer;40;35-44;Rural;San Pedro;Básica;Q3;0;100
98;Hombre;19;15-24;Rural;Caaguazú;Básica;Q1;1;22
99;Hombre;64;55-64;Rural;San Pedro;Básica;Q3;0;59
100;Hombre;72;65+;Rural;San Pedro;Básica;Q2;0;132
101;Hombre;34;25-34;Urbana;Central;Media;Q3;1;51
102;Mujer;25;25-34;Rural;Concepción;Básica;Q1;0;67
103;Hombre;31;25-34;Rural;Concepción;Media;Q2;0;70
104;Mujer;47;45-54;Rural;San Pedro;Media;Q5;1;40
105;Mujer;58;55-64;Urbana;Central;Media;Q4;1;65
106;Hombre;45;45-54;Urbana;Central;Básica;Q1;0;126
107;Hombre;36;35-44;Rural;Concepción;Media;Q1;0;130
108;Mujer;61;55-64;Rural;San Pedro;Básica;Q1;0;95
109;Hombre;29;25-34;Rural;Concepción;Básica;Q1;0;108
110;Hombre;53;45-54;Urbana;Central;Media;Q4;1;89
111;Hombre;29;25-34;Rural;Concepción;Superior;Q5;1;25
112;Hombre;42;35-44;Urbana;Concepción;Superior;Q4;1;110
113;Mujer;32;25-34;Rural;Asunción;Básica;Q3;0;149
114;Mujer;33;25-34;Urbana;Central;Media;Q2;1;49
115;Mujer;28;25-34;Rural;Caazapá;Básica;Q2;0;147
116;Mujer;59;55-64;Urbana;Asunción;Superior;Q5;1;149
117;Mujer;21;15-24;Urbana;Asunción;Superior;Q2;1;38
118;Hombre;21;15-24;Urbana;Central;Media;Q3;1;140
119;Mujer;73;65+;Urbana;Caaguazú;Media;Q3;0;107
120;Mujer;52;45-54;Rural;Concepción;Media;Q3;0;80
121;Mujer;15;15-24;Rural;Caaguazú;Básica;Q2;1;64
122;Mujer;24;15-24;Rural;Concepción;Básica;Q2;1;101
123;Hombre;15;15-24;Urbana;Asunción;Media;Q3;1;129
124;Hombre;17;15-24;Rural;Caaguazú;Básica;Q1;1;24
125;Hombre;15;15-24;Urbana;Asunción;Media;Q2;1;89
126;Hombre;32;25-34;Rural;San Pedro;Básica;Q2;0;104
127;Mujer;15;15-24;Rural;San Pedro;Media;Q2;1;23
128;Mujer;36;35-44;Urbana;Alto Paraná;Media;Q5;1;135
129;Hombre;15;15-24;Urbana;Central;Media;Q4;1;143
130;Mujer;36;35-44;Urbana;Asunción;Superior;Q4;1;99
131;Hombre;27;25-34;Rural;Caaguazú;Básica;Q3;1;35
132;Hombre;62;55-64;Urbana;Alto Paraná;Básica;Q2;1;141
133;Hombre;60;55-64;Rural;Alto Paraná;Básica;Q1;0;124
134;Hombre;49;45-54;Urbana;Itapúa;Media;Q4;1;23
135;Mujer;29;25-34;Rural;San Pedro;Básica;Q2;0;95
136;Hombre;70;65+;Rural;San Pedro;Media;Q1;0;34
137;Mujer;15;15-24;Urbana;Asunción;Media;Q3;1;38
138;Mujer;15;15-24;Rural;Caaguazú;Básica;Q1;0;45
139;Hombre;33;25-34;Rural;Concepción;Media;Q3;1;71
140;Mujer;75;65+;Rural;San Pedro;Media;Q3;0;133
141;Mujer;31;25-34;Urbana;Itapúa;Media;Q4;1;24
142;Hombre;31;25-34;Urbana;Alto Paraná;Media;Q2;1;109
143;Mujer;15;15-24;Urbana;Central;Básica;Q1;0;145
144;Hombre;52;45-54;Urbana;Central;Media;Q3;0;103
145;Hombre;52;45-54;Urbana;Central;Superior;Q5;1;126
146;Hombre;49;45-54;Urbana;Central;Básica;Q1;0;137
147;Mujer;23;15-24;Rural;Caazapá;Media;Q3;1;112
148;Mujer;22;15-24;Urbana;Asunción;Superior;Q4;1;105
149;Hombre;15;15-24;Rural;Concepción;Media;Q4;1;22
150;Hombre;36;35-44;Urbana;Asunción;Media;Q3;1;87
151;Mujer;15;15-24;Rural;Caaguazú;Media;Q1;1;80
152;Hombre;15;15-24;Rural;Concepción;Media;Q2;1;87
153;Hombre;27;25-34;Urbana;Asunción;Media;Q2;1;76
154;Hombre;26;25-34;Rural;San Pedro;Media;Q3;1;137
155;Mujer;25;25-34;Urbana;Asunción;Media;Q1;1;135
156;Hombre;43;35-44;Rural;Caaguazú;Media;Q2;0;36
157;Mujer;36;35-44;Urbana;Central;Superior;Q5;0;89
158;Mujer;29;25-34;Urbana;Caazapá;Media;Q3;1;144
159;Hombre;38;35-44;Urbana;Asunción;Media;Q4;1;97
160;Mujer;17;15-24;Urbana;Asunción;Media;Q3;1;124
161;Hombre;36;35-44;Urbana;Central;Superior;Q5;1;68
162;Mujer;37;35-44;Urbana;Asunción;Superior;Q5;1;69
163;Mujer;15;15-24;Urbana;Asunción;Básica;Q3;0;62
164;Mujer;52;45-54;Rural;Caaguazú;Media;Q5;1;22
165;Hombre;19;15-24;Urbana;Itapúa;Superior;Q4;1;140
166;Mujer;36;35-44;Urbana;Itapúa;Superior;Q5;1;65
167;Hombre;55;55-64;Urbana;Asunción;Superior;Q4;1;67
168;Hombre;51;45-54;Rural;San Pedro;Básica;Q3;0;118
169;Hombre;35;35-44;Urbana;Central;Media;Q3;0;88
170;Mujer;28;25-34;Urbana;Central;Superior;Q4;1;67
171;Mujer;52;45-54;Urbana;Alto Paraná;Superior;Q5;1;134
172;Hombre;47;45-54;Urbana;Central;Media;Q2;0;127
173;Mujer;23;15-24;Urbana;Asunción;Media;Q4;1;146
174;Hombre;20;15-24;Urbana;Asunción;Superior;Q5;1;103
175;Mujer;15;15-24;Urbana;Itapúa;Superior;Q4;1;109
176;Hombre;37;35-44;Urbana;Central;Media;Q3;0;62
177;Mujer;33;25-34;Urbana;Alto Paraná;Básica;Q1;1;32
178;Hombre;55;55-64;Urbana;Central;Superior;Q5;1;33
179;Mujer;41;35-44;Urbana;Central;Superior;Q5;1;103
180;Hombre;59;55-64;Rural;San Pedro;Media;Q4;0;34
181;Hombre;22;15-24;Urbana;Alto Paraná;Superior;Q5;0;137
182;Hombre;55;55-64;Rural;Concepción;Básica;Q1;0;111
183;Mujer;25;25-34;Urbana;Asunción;Superior;Q4;1;49
184;Mujer;48;45-54;Urbana;Asunción;Superior;Q4;1;56
185;Hombre;15;15-24;Rural;Caaguazú;Media;Q3;1;112
186;Mujer;39;35-44;Urbana;Central;Superior;Q3;1;127
187;Mujer;15;15-24;Urbana;Central;Superior;Q5;1;129
188;Mujer;30;25-34;Urbana;Central;Superior;Q5;1;98
189;Mujer;42;35-44;Urbana;Alto Paraná;Media;Q2;1;40
190;Hombre;25;25-34;Rural;Caaguazú;Media;Q2;0;126
191;Hombre;16;15-24;Urbana;Central;Media;Q1;1;122
192;Mujer;50;45-54;Urbana;Asunción;Media;Q4;1;128
193;Mujer;33;25-34;Rural;San Pedro;Media;Q3;0;40
194;Mujer;26;25-34;Rural;Caaguazú;Media;Q2;1;108
195;Hombre;35;35-44;Rural;Concepción;Básica;Q3;1;144
196;Hombre;80;65+;Urbana;Alto Paraná;Superior;Q3;1;53
197;Mujer;55;55-64;Rural;Concepción;Media;Q3;0;113
198;Mujer;55;55-64;Rural;Caaguazú;Media;Q4;0;53
199;Mujer;42;35-44;Rural;San Pedro;Básica;Q2;0;59
200;Mujer;37;35-44;Rural;Caaguazú;Básica;Q2;1;83
201;Mujer;15;15-24;Rural;San Pedro;Media;Q2;0;136
202;Hombre;22;15-24;Urbana;Central;Media;Q2;0;25
203;Hombre;26;25-34;Urbana;Asunción;Media;Q3;0;148
204;Mujer;15;15-24;Rural;San Pedro;Media;Q1;1;120
205;Mujer;15;15-24;Urbana;Central;Media;Q5;1;66
206;Hombre;15;15-24;Urbana;Asunción;Media;Q3;1;66
207;Hombre;34;25-34;Urbana;Central;Básica;Q2;0;82
208;Mujer;49;45-54;Rural;Concepción;Básica;Q1;0;133
209;Hombre;54;45-54;Urbana;Alto Paraná;Media;Q5;1;22
210;Hombre;42;35-44;Rural;San Pedro;Media;Q4;0;91
211;Mujer;17;15-24;Urbana;Asunción;Media;Q3;1;27
212;Mujer;15;15-24;Urbana;Alto Paraná;Media;Q3;1;35
213;Mujer;15;15-24;Urbana;Asunción;Básica;Q1;1;109
214;Hombre;15;15-24;Urbana;Itapúa;Media;Q3;1;50
215;Mujer;19;15-24;Rural;San Pedro;Básica;Q1;0;25
216;Hombre;32;25-34;Rural;Caaguazú;Básica;Q2;0;41
217;Hombre;16;15-24;Rural;San Pedro;Media;Q3;0;47
218;Mujer;41;35-44;Urbana;Central;Media;Q1;1;120
219;Mujer;30;25-34;Urbana;Itapúa;Media;Q1;1;101
220;Mujer;35;35-44;Urbana;Central;Media;Q2;1;115
221;Mujer;55;55-64;Urbana;Central;Superior;Q4;1;68
222;Mujer;15;15-24;Urbana;Asunción;Media;Q5;1;34
223;Hombre;42;35-44;Rural;Central;Básica;Q2;0;124
224;Hombre;34;25-34;Urbana;Central;Superior;Q5;1;38
225;Hombre;28;25-34;Urbana;Asunción;Media;Q3;1;69
226;Hombre;50;45-54;Rural;San Pedro;Media;Q3;1;54
227;Mujer;50;45-54;Urbana;Asunción;Media;Q4;1;58
228;Hombre;17;15-24;Rural;San Pedro;Básica;Q2;0;98
229;Mujer;31;25-34;Rural;Asunción;Media;Q3;1;41
230;Mujer;40;35-44;Urbana;Central;Superior;Q5;1;77
231;Mujer;30;25-34;Urbana;Asunción;Media;Q3;1;103
232;Mujer;45;45-54;Rural;Caaguazú;Media;Q4;1;132
233;Mujer;40;35-44;Urbana;Central;Media;Q4;1;68
234;Mujer;67;65+;Urbana;Asunción;Media;Q5;1;61
235;Hombre;15;15-24;Rural;San Pedro;Media;Q5;1;67
236;Mujer;32;25-34;Urbana;Asunción;Media;Q3;1;85
237;Hombre;18;15-24;Urbana;Central;Media;Q1;1;60
238;Hombre;45;45-54;Rural;Caaguazú;Básica;Q1;1;52
239;Mujer;15;15-24;Rural;Asunción;Media;Q2;1;68
240;Hombre;41;35-44;Urbana;Central;Media;Q1;1;121
241;Mujer;23;15-24;Urbana;Central;Media;Q3;1;52
242;Mujer;21;15-24;Urbana;Itapúa;Media;Q1;1;129
243;Mujer;15;15-24;Urbana;Central;Media;Q4;1;57
244;Hombre;26;25-34;Rural;Caaguazú;Media;Q2;1;98
245;Hombre;54;45-54;Rural;Caaguazú;Media;Q3;0;146
246;Mujer;34;25-34;Rural;Concepción;Básica;Q1;0;143
247;Hombre;46;45-54;Urbana;Central;Media;Q4;1;76
248;Mujer;64;55-64;Urbana;Central;Superior;Q5;1;28
249;Mujer;39;35-44;Urbana;Central;Básica;Q1;0;137
250;Mujer;24;15-24;Urbana;Central;Superior;Q5;1;36
251;Hombre;43;35-44;Urbana;Alto Paraná;Media;Q2;1;140
252;Hombre;25;25-34;Urbana;Central;Media;Q4;1;115
253;Mujer;25;25-34;Urbana;Asunción;Superior;Q5;1;141
254;Hombre;15;15-24;Rural;Caaguazú;Media;Q3;1;106
255;Hombre;51;45-54;Rural;Central;Básica;Q1;0;149
256;Mujer;28;25-34;Urbana;Central;Media;Q2;1;80
257;Mujer;38;35-44;Urbana;Central;Media;Q5;1;62
258;Mujer;16;15-24;Rural;Alto Paraná;Básica;Q2;0;71
259;Mujer;42;35-44;Rural;Caaguazú;Superior;Q4;1;65
260;Hombre;21;15-24;Urbana;Concepción;Básica;Q2;0;72
261;Mujer;32;25-34;Rural;San Pedro;Media;Q2;0;135
262;Mujer;50;45-54;Rural;Itapúa;Media;Q1;0;96
263;Hombre;49;45-54;Urbana;Asunción;Superior;Q5;1;114
264;Mujer;34;25-34;Urbana;Alto Paraná;Media;Q3;1;57
265;Mujer;15;15-24;Urbana;Alto Paraná;Superior;Q4;1;148
266;Mujer;80;65+;Urbana;Central;Media;Q5;0;56
267;Mujer;66;65+;Urbana;Alto Paraná;Superior;Q4;1;40
268;Mujer;48;45-54;Rural;Caaguazú;Básica;Q1;0;121
269;Hombre;21;15-24;Rural;San Pedro;Superior;Q4;1;129
270;Hombre;32;25-34;Urbana;Central;Básica;Q2;1;71
271;Mujer;25;25-34;Urbana;Central;Media;Q3;1;90
272;Mujer;57;55-64;Rural;Concepción;Básica;Q1;0;73
273;Mujer;39;35-44;Urbana;Asunción;Superior;Q5;1;58
274;Mujer;20;15-24;Urbana;Asunción;Superior;Q5;1;125
275;Mujer;26;25-34;Rural;Caaguazú;Básica;Q2;1;118
276;Mujer;55;55-64;Urbana;Alto Paraná;Básica;Q3;1;83
277;Mujer;63;55-64;Urbana;Itapúa;Media;Q2;1;79
278;Mujer;62;55-64;Urbana;Asunción;Media;Q2;1;43
279;Mujer;48;45-54;Urbana;Itapúa;Media;Q4;1;102
280;Mujer;30;25-34;Urbana;Itapúa;Media;Q2;0;140
281;Mujer;15;15-24;Urbana;Asunción;Media;Q1;0;113
282;Hombre;40;35-44;Urbana;Central;Media;Q1;1;85
283;Hombre;34;25-34;Urbana;Central;Superior;Q5;1;25
284;Hombre;37;35-44;Urbana;Central;Media;Q1;0;140
285;Mujer;35;35-44;Urbana;Central;Media;Q2;0;60
286;Hombre;15;15-24;Urbana;Central;Media;Q2;1;58
287;Hombre;45;45-54;Rural;San Pedro;Básica;Q3;0;81
288;Mujer;46;45-54;Urbana;Asunción;Media;Q3;0;75
289;Hombre;47;45-54;Rural;San Pedro;Básica;Q1;0;145
290;Mujer;52;45-54;Urbana;Alto Paraná;Básica;Q3;0;41
291;Hombre;45;45-54;Urbana;Asunción;Media;Q4;1;109
292;Hombre;27;25-34;Rural;Caazapá;Básica;Q2;1;33
293;Mujer;33;25-34;Urbana;Central;Básica;Q1;0;55
294;Hombre;36;35-44;Rural;Caaguazú;Básica;Q2;0;113
295;Hombre;36;35-44;Urbana;Itapúa;Media;Q5;1;124
296;Mujer;52;45-54;Urbana;Asunción;Básica;Q1;0;80
297;Mujer;46;45-54;Rural;San Pedro;Básica;Q1;0;122
298;Hombre;72;65+;Urbana;Concepción;Media;Q2;1;141
299;Mujer;74;65+;Urbana;Central;Superior;Q5;0;141
300;Hombre;36;35-44;Rural;San Pedro;Superior;Q5;1;64
301;Hombre;15;15-24;Rural;San Pedro;Básica;Q1;1;60
302;Mujer;57;55-64;Urbana;Itapúa;Básica;Q1;0;114
303;Mujer;25;25-34;Urbana;Central;Básica;Q4;1;105
304;Mujer;20;15-24;Urbana;Asunción;Media;Q4;1;70
305;Mujer;27;25-34;Urbana;Itapúa;Media;Q5;1;49
306;Mujer;26;25-34;Urbana;Central;Media;Q4;1;100
307;Mujer;46;45-54;Rural;Itapúa;Media;Q3;0;75
308;Hombre;15;15-24;Urbana;Asunción;Media;Q2;1;37
309;Mujer;15;15-24;Rural;Caaguazú;Superior;Q5;1;103
310;Hombre;41;35-44;Urbana;Asunción;Básica;Q1;0;110
311;Hombre;46;45-54;Urbana;Central;Básica;Q2;0;67
312;Hombre;46;45-54;Rural;San Pedro;Básica;Q2;0;128
313;Hombre;20;15-24;Urbana;Central;Básica;Q4;1;29
314;Mujer;17;15-24;Urbana;Asunción;Superior;Q2;1;84
315;Mujer;25;25-34;Urbana;Asunción;Media;Q2;1;144
316;Mujer;39;35-44;Rural;Alto Paraná;Media;Q4;1;44
317;Hombre;61;55-64;Urbana;Asunción;Media;Q5;0;42
318;Hombre;15;15-24;Urbana;Central;Media;Q5;1;69
319;Hombre;31;25-34;Rural;Concepción;Básica;Q2;0;54
320;Hombre;15;15-24;Urbana;Central;Media;Q1;1;48
321;Mujer;15;15-24;Rural;Concepción;Media;Q3;0;143
322;Mujer;52;45-54;Urbana;Alto Paraná;Superior;Q5;0;64
323;Mujer;44;35-44;Urbana;San Pedro;Media;Q3;1;27
324;Hombre;43;35-44;Rural;Concepción;Media;Q4;1;136
325;Mujer;51;45-54;Rural;Caazapá;Básica;Q1;0;78
326;Mujer;26;25-34;Rural;Caaguazú;Media;Q1;1;115
327;Mujer;27;25-34;Rural;Concepción;Básica;Q2;0;67
328;Mujer;74;65+;Urbana;Central;Superior;Q5;1;141
329;Hombre;30;25-34;Urbana;Asunción;Media;Q5;1;57
330;Hombre;48;45-54;Urbana;Central;Básica;Q3;1;106
331;Hombre;35;35-44;Rural;Caaguazú;Básica;Q2;0;127
332;Mujer;15;15-24;Rural;Caaguazú;Superior;Q5;1;50
333;Hombre;15;15-24;Rural;Caaguazú;Básica;Q3;1;124
334;Hombre;24;15-24;Urbana;Asunción;Media;Q1;0;122
335;Hombre;54;45-54;Urbana;Central;Básica;Q4;0;145
336;Hombre;49;45-54;Urbana;Itapúa;Media;Q3;1;139
337;Mujer;51;45-54;Rural;Caaguazú;Básica;Q4;0;70
338;Mujer;17;15-24;Urbana;Asunción;Superior;Q5;1;96
339;Hombre;64;55-64;Rural;Caaguazú;Superior;Q3;1;140
340;Hombre;17;15-24;Urbana;Itapúa;Superior;Q3;1;20
341;Mujer;38;35-44;Urbana;Itapúa;Básica;Q1;0;101
342;Hombre;34;25-34;Urbana;Itapúa;Media;Q2;1;47
343;Hombre;31;25-34;Urbana;Asunción;Básica;Q2;0;116
344;Hombre;59;55-64;Urbana;Central;Media;Q4;0;123
345;Hombre;22;15-24;Urbana;Caaguazú;Superior;Q4;1;112
346;Mujer;15;15-24;Urbana;Central;Media;Q1;1;149
347;Mujer;35;35-44;Urbana;Asunción;Superior;Q5;1;82
348;Hombre;27;25-34;Rural;San Pedro;Media;Q3;1;92
349;Hombre;80;65+;Rural;Alto Paraná;Básica;Q3;0;73
350;Mujer;47;45-54;Urbana;Central;Media;Q1;1;146
351;Mujer;27;25-34;Urbana;Itapúa;Básica;Q3;1;139
352;Mujer;15;15-24;Urbana;Asunción;Media;Q2;1;148
353;Mujer;15;15-24;Rural;Concepción;Básica;Q2;0;148
354;Hombre;16;15-24;Urbana;Asunción;Superior;Q5;1;136
355;Hombre;37;35-44;Urbana;Asunción;Media;Q5;1;141
356;Mujer;60;55-64;Rural;Concepción;Media;Q3;1;35
357;Hombre;55;55-64;Urbana;Central;Superior;Q3;1;42
358;Mujer;39;35-44;Rural;Concepción;Media;Q5;0;135
359;Mujer;29;25-34;Urbana;Caaguazú;Superior;Q4;1;114
360;Mujer;39;35-44;Urbana;Asunción;Media;Q2;1;133
361;Hombre;25;25-34;Urbana;Asunción;Media;Q3;1;120
362;Mujer;65;65+;Rural;Concepción;Media;Q2;0;38
363;Hombre;31;25-34;Rural;Caazapá;Media;Q2;1;139
364;Mujer;33;25-34;Urbana;Alto Paraná;Básica;Q1;0;120
365;Mujer;15;15-24;Urbana;Central;Media;Q2;1;94
366;Hombre;31;25-34;Urbana;Alto Paraná;Superior;Q4;1;89
367;Mujer;50;45-54;Rural;San Pedro;Básica;Q1;0;94
368;Mujer;15;15-24;Urbana;Asunción;Media;Q4;1;70
369;Hombre;21;15-24;Rural;Caaguazú;Básica;Q4;1;124
370;Hombre;49;45-54;Urbana;Alto Paraná;Básica;Q1;0;138
371;Hombre;15;15-24;Urbana;Central;Media;Q4;1;52
372;Hombre;54;45-54;Urbana;Central;Media;Q5;1;24
373;Hombre;25;25-34;Rural;Caaguazú;Superior;Q5;1;46
374;Mujer;28;25-34;Rural;Caaguazú;Básica;Q5;1;118
375;Hombre;15;15-24;Urbana;Itapúa;Media;Q3;1;132
376;Hombre;41;35-44;Urbana;Central;Media;Q4;1;65
377;Mujer;79;65+;Urbana;Asunción;Media;Q4;1;39
378;Hombre;49;45-54;Urbana;Alto Paraná;Superior;Q4;1;131
379;Mujer;19;15-24;Rural;Concepción;Básica;Q3;0;47
380;Hombre;55;55-64;Urbana;Alto Paraná;Media;Q3;1;51
381;Hombre;29;25-34;Rural;Asunción;Media;Q2;0;32
382;Mujer;59;55-64;Rural;San Pedro;Media;Q2;0;138
383;Mujer;49;45-54;Rural;Caaguazú;Media;Q4;0;62
384;Mujer;15;15-24;Rural;Concepción;Básica;Q3;1;42
385;Mujer;16;15-24;Urbana;Central;Básica;Q2;1;143
386;Mujer;51;45-54;Rural;Caazapá;Superior;Q5;1;63
387;Hombre;37;35-44;Urbana;Central;Superior;Q3;1;117
388;Hombre;16;15-24;Urbana;Alto Paraná;Básica;Q2;0;49
389;Mujer;23;15-24;Rural;Caazapá;Media;Q5;1;114
390;Mujer;15;15-24;Urbana;Asunción;Media;Q5;1;50
391;Mujer;33;25-34;Rural;Concepción;Media;Q4;1;102
392;Hombre;74;65+;Rural;Concepción;Básica;Q5;0;77
393;Hombre;49;45-54;Rural;Caazapá;Media;Q5;0;123
394;Mujer;74;65+;Urbana;Central;Básica;Q1;0;114
395;Hombre;50;45-54;Rural;Caaguazú;Media;Q3;0;141
396;Mujer;53;45-54;Urbana;Asunción;Básica;Q1;1;68
397;Mujer;70;65+;Rural;Caazapá;Media;Q3;0;118
398;Hombre;41;35-44;Urbana;Central;Básica;Q3;0;145
399;Mujer;31;25-34;Urbana;Central;Media;Q2;1;63
400;Mujer;53;45-54;Urbana;Asunción;Media;Q5;1;57
401;Hombre;61;55-64;Urbana;Central;Básica;Q2;0;119
402;Mujer;26;25-34;Urbana;Asunción;Media;Q4;1;77
403;Mujer;22;15-24;Urbana;Itapúa;Media;Q1;1;71
404;Mujer;37;35-44;Urbana;Itapúa;Superior;Q3;0;90
405;Hombre;49;45-54;Rural;San Pedro;Media;Q4;1;141
